KEGG Pathways	Sub-category 	Major-category
Metabolic pathways	Global and overview maps	Metabolism
Biosynthesis of secondary metabolites	Global and overview maps	Metabolism
Microbial metabolism in diverse environments	Global and overview maps	Metabolism
Carbon metabolism	Global and overview maps	Metabolism
2-Oxocarboxylic acid metabolism	Global and overview maps	Metabolism
Fatty acid metabolism	Global and overview maps	Metabolism
Biosynthesis of amino acids	Global and overview maps	Metabolism
Degradation of aromatic compounds	Global and overview maps	Metabolism
Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
Citrate cycle (TCA cycle)	Carbohydrate metabolism	Metabolism
Pentose phosphate pathway	Carbohydrate metabolism	Metabolism
Pentose and glucuronate interconversions	Carbohydrate metabolism	Metabolism
Fructose and mannose metabolism	Carbohydrate metabolism	Metabolism
Galactose metabolism	Carbohydrate metabolism	Metabolism
Ascorbate and aldarate metabolism	Carbohydrate metabolism	Metabolism
Starch and sucrose metabolism	Carbohydrate metabolism	Metabolism
Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	Metabolism
Pyruvate metabolism	Carbohydrate metabolism	Metabolism
Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism	Metabolism
Propanoate metabolism	Carbohydrate metabolism	Metabolism
Butanoate metabolism	Carbohydrate metabolism	Metabolism
C5-Branched dibasic acid metabolism	Carbohydrate metabolism	Metabolism
Inositol phosphate metabolism	Carbohydrate metabolism	Metabolism
Oxidative phosphorylation	Energy metabolism	Metabolism
Photosynthesis	Energy metabolism	Metabolism
Photosynthesis - antenna proteins	Energy metabolism	Metabolism
Carbon fixation in photosynthetic organisms	Energy metabolism	Metabolism
Carbon fixation pathways in prokaryotes	Energy metabolism	Metabolism
Methane metabolism	Energy metabolism	Metabolism
Nitrogen metabolism	Energy metabolism	Metabolism
Sulfur metabolism	Energy metabolism	Metabolism
Fatty acid biosynthesis	Lipid metabolism	Metabolism
Fatty acid elongation	Lipid metabolism	Metabolism
Fatty acid degradation	Lipid metabolism	Metabolism
Synthesis and degradation of ketone bodies	Lipid metabolism	Metabolism
Cutin, suberine and wax biosynthesis	Lipid metabolism	Metabolism
Steroid biosynthesis	Lipid metabolism	Metabolism
Primary bile acid biosynthesis	Lipid metabolism	Metabolism
Secondary bile acid biosynthesis	Lipid metabolism	Metabolism
Steroid hormone biosynthesis	Lipid metabolism	Metabolism
Glycerolipid metabolism	Lipid metabolism	Metabolism
Glycerophospholipid metabolism	Lipid metabolism	Metabolism
Ether lipid metabolism	Lipid metabolism	Metabolism
Sphingolipid metabolism	Lipid metabolism	Metabolism
Arachidonic acid metabolism	Lipid metabolism	Metabolism
Linoleic acid metabolism	Lipid metabolism	Metabolism
alpha-Linolenic acid metabolism	Lipid metabolism	Metabolism
Biosynthesis of unsaturated fatty acids	Lipid metabolism	Metabolism
Purine metabolism	Nucleotide metabolism	Metabolism
Pyrimidine metabolism	Nucleotide metabolism	Metabolism
Alanine, aspartate and glutamate metabolism	Amino acid metabolism	Metabolism
Glycine, serine and threonine metabolism	Amino acid metabolism	Metabolism
Cysteine and methionine metabolism	Amino acid metabolism	Metabolism
Valine, leucine and isoleucine degradation	Amino acid metabolism	Metabolism
Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	Metabolism
Lysine biosynthesis	Amino acid metabolism	Metabolism
