"name"	"id"	"disease"
"A2ML1"	144568	"pa"
"A2MP1"	3	"sjs"
"AACS"	65985	"ms"
"AACSP1"	729522	"sjs"
"AADACL2"	344752	"pbc"
"AADAT"	51166	"ms"
"AAK1"	22848	"pso"
"AAMP"	14	"shared"
"AARS2"	57505	"shared"
"AASDH"	132949	"vit"
"AATF"	26574	"as"
"ABAT"	18	"ms"
"ABCA5"	23461	"pso"
"ABCA8"	10351	"crd"
"ABCA9-AS1"	104355297	"ra"
"ABCB9"	23457	"ms"
"ABCC12"	94160	"ms"
"ABCC4"	10257	"identical"
"ABCD3"	5825	"shared"
"ABCF1"	23	"shared"
"ABCG1"	9619	"ms"
"ABCG2"	9429	"sle"
"ABHD16A"	7920	"shared"
"ABHD2"	11057	"pso"
"ABHD5"	51099	"ms"
"ABHD6"	57406	"shared"
"ABI3BP"	25890	"ra"
"ABLIM2"	84448	"identical"
"ACACB"	32	"shared"
"ACADS"	35	"sle"
"ACAP3"	116983	"shared"
"ACBD6"	84320	"t1d"
"ACHE"	43	"identical"
"ACO2"	50	"shared"
"ACOT7"	11332	"ms"
"ACOX1"	51	"pso"
"ACOX2"	8309	"sle"
"ACOXL-AS1"	400997	"ms"
"ACP2"	53	"ms"
"ACSBG1"	23205	"identical"
"ACSL6"	23305	"shared"
"ACSM1"	116285	"ssc"
"ACSS2"	55902	"ulc"
"ACTA2"	59	"jia"
"ACTBP13"	389120	"shared"
"ACTN4P2"	391026	"ra"
"ACTR1A"	10121	"ulc"
"ACVR2A"	92	"crd"
"ADAM10"	102	"ms"
"ADAM12"	8038	"shared"
"ADAM15"	8751	"shared"
"ADAM1B"	100420505	"shared"
"ADAM23"	8745	"shared"
"ADAM32"	203102	"ms"
"ADAMTS10"	81794	"ms"
"ADAMTS12"	81792	"shared"
"ADAMTS17"	170691	"shared"
"ADAMTS3"	9508	"shared"
"ADAMTS6"	11174	"shared"
"ADAMTS7"	11173	"shared"
"ADARB1"	104	"shared"
"ADCY1"	107	"sle"
"ADCY2"	108	"ssc"
"ADCY3"	109	"shared"
"ADD2"	119	"shared"
"ADGB"	79747	"shared"
"ADGRB3"	577	"pso"
"ADGRD1"	283383	"shared"
"ADGRF1"	266977	"pso"
"ADGRG6"	57211	"shared"
"ADH4"	127	"ra"
"ADK"	132	"shared"
"ADO"	84890	"shared"
"ADORA1"	134	"shared"
"ADPRH"	141	"vit"
"ADSS"	159	"vit"
"ADTRP"	84830	"pso"
"AEBP2"	121536	"pso"
"AFAP1L2"	84632	"pso"
"AFDN"	4301	"ra"
"AFDN-AS1"	653483	"sle"
"AFF1"	4299	"shared"
"AFF3"	3899	"shared"
"AGAP1"	116987	"shared"
"AGAP2"	116986	"ms"
"AGAP5"	729092	"shared"
"AGBL2"	79841	"ms"
"AGBL3"	340351	"ms"
"AGER"	177	"shared"
"AGO4"	192670	"shared"
"AGPAT1"	10554	"shared"
"AGPAT4"	56895	"vit"
"AGPS"	8540	"ra"
"AHCTF1"	25909	"ra"
"AHCYL1"	10768	"ssc"
"AHCYL2"	23382	"pso"
"AHDC1"	27245	"ra"
"AHI1"	54806	"shared"
"AHNAK2"	113146	"shared"
"AHR"	196	"ulc"
"AHRR"	57491	"shared"
"AHSA2"	130872	"shared"
"AIF1"	199	"ra"
"AIFM2"	84883	"sle"
"AIG1"	51390	"shared"
"AIM1"	202	"shared"
"AJAP1"	55966	"pso"
"AK9"	221264	"ulc"
"AKAP10"	11216	"crd"
"AKAP11"	11215	"crd"
"AKAP12"	9590	"pso"
"AKAP2"	445815	"shared"
"AKAP6"	9472	"identical"
"AKAP7"	9465	"sle"
"AKAP8L"	26993	"pso"
"AKT3"	10000	"crd"
"ALDH1A2"	8854	"shared"
"ALDH1L1-AS2"	100862662	"ulc"
"ALDH2"	217	"shared"
"ALDH7A1P1"	541	"sjs"
"ALDH8A1"	64577	"ms"
"ALDH9A1"	223	"ulc"
"ALG14"	199857	"ms"
"ALG1L13P"	106479038	"shared"
"ALKBH5"	54890	"sle"
"ALMS1"	7840	"identical"
"ALOX12-AS1"	100506713	"ms"
"ALPK2"	115701	"shared"
"ALS2CR12"	130540	"shared"
"AMBRA1"	55626	"identical"
"AMMECR1L"	83607	"pa"
"AMOT"	154796	"ced"
"AMOTL1"	154810	"pso"
"AMPH"	273	"ssc"
"AMT"	275	"shared"
"AMZ1"	155185	"ulc"
"ANAPC5"	51433	"ms"
"ANGEL2"	90806	"ulc"
"ANGPT1"	284	"pso"
"ANGPTL7"	10218	"grd"
"ANK1"	286	"pa"
"ANK2"	287	"pbc"
"ANKIB1"	54467	"ced"
"ANKLE1"	126549	"sle"
"ANKMY1"	51281	"shared"
"ANKRD1"	27063	"identical"
"ANKRD10"	55608	"crd"
"ANKRD11"	29123	"ms"
"ANKRD12"	23253	"pso"
"ANKRD18B"	441459	"pso"
"ANKRD26"	22852	"t1d"
"ANKRD27"	84079	"ee"
"ANKRD28"	23243	"ms"
"ANKRD34A"	284615	"pso"
"ANKRD34B"	340120	"pso"
"ANKRD35"	148741	"t1d"
"ANKRD36BP2"	645784	"ms"
"ANKRD39"	51239	"pso"
"ANKRD44"	91526	"shared"
"ANKRD52"	283373	"pso"
"ANKRD55"	79722	"identical"
"ANKRD65"	441869	"shared"
"ANKS1A"	23294	"shared"
"ANKS1B"	56899	"pso"
"ANO10"	55129	"ra"
"ANO9"	338440	"shared"
"ANTXR2"	118429	"shared"
"ANXA11"	311	"crd"
"ANXA3"	306	"ra"
"ANXA5"	308	"ulc"
"AP1AR"	55435	"ms"
"AP1M2"	10053	"ms"
"AP2A2"	161	"sle"
"AP3B1"	8546	"pbc"
"AP3D1"	8943	"pbc"
"AP3M2"	10947	"ms"
"AP4B1-AS1"	100287722	"identical"
"AP5B1"	91056	"pso"
"APBA2"	321	"sjs"
"APBB1"	322	"ms"
"APBB2"	323	"shared"
"APEH"	327	"shared"
"APIP"	51074	"sle"
"APLP1"	333	"sle"
"APLP2"	334	"crd"
"APOBR"	55911	"t1d"
"APOLD1"	81575	"sle"
"APOM"	55937	"shared"
"APP"	351	"sle"
"APPBP2"	10513	"pso"
"AQP12A"	375318	"crd"
"AQP8"	343	"grd"
"ARAP1"	116985	"ra"
"ARFRP1"	10139	"shared"
"ARHGAP1"	392	"identical"
"ARHGAP12"	94134	"sle"
"ARHGAP15"	55843	"grd"
"ARHGAP24"	83478	"t1d"
"ARHGAP27"	201176	"shared"
"ARHGAP31"	57514	"ced"
"ARHGAP32"	9743	"ra"
"ARHGAP42"	143872	"ssc"
"ARHGAP44"	9912	"identical"
"ARHGAP6"	395	"identical"
"ARHGAP9"	64333	"shared"
"ARHGEF10"	9639	"crd"
"ARHGEF11"	9826	"shared"
"ARHGEF12"	23365	"shared"
"ARHGEF18"	23370	"ulc"
"ARHGEF2"	9181	"crd"
"ARHGEF3"	50650	"pso"
"ARHGEF33"	100271715	"vit"
"ARHGEF40"	55701	"ms"
"ARHGEF7"	8874	"ms"
"ARID1A"	8289	"shared"
"ARID4B"	51742	"shared"
"ARID5B"	84159	"sle"
"ARIH1"	25820	"ulc"
"ARIH2"	10425	"identical"
"ARL17A"	51326	"ced"
"ARL17B"	100506084	"shared"
"ARL4C"	10123	"as"
"ARL6"	84100	"pbc"
"ARL6IP4"	51329	"ms"
"ARMC8"	25852	"pso"
"ARPC1A"	10552	"ssc"
"ARPC1B"	10095	"ssc"
"ARPC2"	10109	"shared"
"ARPC5"	10092	"sle"
"ARPP21"	10777	"ulc"
"ARRDC1"	92714	"pso"
"ARVCF"	421	"crd"
"AS3MT"	57412	"shared"
"ASAP1"	50807	"ms"
"ASB16"	92591	"t1d"
"ASB2"	51676	"grd"
"ASB3"	51130	"identical"
"ASB8"	140461	"ra"
"ASCC2"	84164	"shared"
"ASCL5"	647219	"shared"
"ASNSD1"	54529	"pbc"
"ASPM"	259266	"ulc"
"ASTN1"	460	"ms"
"ASTN2"	23245	"shared"
"ASXL1"	171023	"pso"
"ATAD1"	84896	"ssc"
"ATAD2B"	54454	"sle"
"ATAD3C"	219293	"shared"
"ATCAY"	85300	"ulc"
"ATE1"	11101	"ulc"
"ATF1"	466	"shared"
"ATF6"	22926	"pso"
"ATF6B"	1388	"shared"
"ATG16L1"	55054	"crd"
"ATG4C"	84938	"shared"
"ATG5"	9474	"pso"
"ATL3"	25923	"ulc"
"ATM"	472	"pso"
"ATP10A"	57194	"shared"
"ATP10B"	23120	"ra"
"ATP11A"	23250	"grd"
"ATP13A2"	23400	"ra"
"ATP13A4"	84239	"shared"
"ATP1A2"	477	"pso"
"ATP1B1"	481	"identical"
"ATP1B3"	483	"sle"
"ATP23"	91419	"shared"
"ATP2A1"	487	"shared"
"ATP2A1-AS1"	100289092	"shared"
"ATP2A2"	488	"jia"
"ATP2B2"	491	"shared"
"ATP2C1"	27032	"shared"
"ATP5A1"	498	"as"
"ATP6AP1L"	92270	"shared"
"ATP6V0E1"	8992	"ms"
"ATP6V1B2"	526	"pso"
"ATP6V1E1"	529	"ms"
"ATP6V1G2"	534	"pso"
"ATP6V1H"	51606	"ms"
"ATP8A2"	51761	"identical"
"ATP8B1"	5205	"shared"
"ATP8B4"	79895	"shared"
"ATP9A"	10079	"ulc"
"ATR"	545	"pso"
"ATRAID"	51374	"crd"
"ATRNL1"	26033	"pso"
"ATXN10"	25814	"shared"
"ATXN2L"	11273	"crd"
"ATXN7"	6314	"shared"
"AUH"	549	"shared"
"AUNIP"	79000	"pa"
"AUTS2"	26053	"shared"
"AVEN"	57099	"ms"
"AVL9"	23080	"crd"
"AXIN1"	8312	"ms"
"B3GALT6"	126792	"shared"
"B3GNT2"	10678	"shared"
"B4GALNT1"	2583	"ra"
"B4GALT5"	9334	"shared"
"B9D1"	27077	"ms"
"BAALC-AS1"	100499183	"sjs"
"BACH2"	60468	"shared"
"BAD"	572	"ms"
"BAG6"	7917	"shared"
"BAK1"	578	"shared"
"BANF1"	8815	"shared"
"BANK1"	55024	"sle"
"BARD1"	580	"sle"
"BASP1"	10409	"shared"
"BATF3"	55509	"ms"
"BAZ1A"	11177	"ra"
"BAZ2B"	29994	"sle"
"BBC3"	27113	"shared"
"BBOF1"	80127	"t1d"
"BBS5"	129880	"ulc"
"BBS9"	27241	"crd"
"BCAR1"	9564	"t1d"
"BCAR3"	8412	"shared"
"BCAS1"	8537	"pso"
"BCAS3"	54828	"as"
"BCKDHB"	594	"grd"
"BCKDK"	10295	"shared"
"BCL10"	8915	"ulc"
"BCL2"	596	"ms"
"BCL2L11"	10018	"ms"
"BCL6"	604	"pso"
"BCL6B"	255877	"ms"
"BCL7C"	9274	"pso"
"BCOR"	54880	"shared"
"BDH2"	56898	"shared"
"BEND3"	57673	"shared"
"BEND6"	221336	"pa"
"BET1"	10282	"sjs"
"BICC1"	80114	"pso"
"BIRC5"	332	"ra"
"BLK"	640	"shared"
"BLMH"	642	"pa"
"BLOC1S2"	282991	"pso"
"BMPER"	168667	"sle"
"BMPR1A"	657	"identical"
"BMPR2"	659	"shared"
"BMS1P4"	729096	"shared"
"BMX"	660	"crd"
"BNC2"	54796	"ms"
