id	DC	CC	EC
2033	0.201	0.436	0.282
1387	0.183	0.433	0.259
8850	0.145	0.411	0.206
9611	0.14	0.39	0.195
10524	0.134	0.404	0.158
472	0.131	0.37	0.123
2146	0.119	0.403	0.175
7341	0.116	0.384	0.15
8648	0.096	0.385	0.132
9612	0.096	0.371	0.154
23512	0.093	0.369	0.149
7158	0.093	0.377	0.101
10499	0.087	0.372	0.126
23411	0.087	0.397	0.14
23054	0.078	0.361	0.116
10014	0.078	0.364	0.141
1108	0.076	0.374	0.108
8085	0.076	0.364	0.119
51564	0.073	0.379	0.15
861	0.073	0.359	0.109
6613	0.07	0.357	0.092
192670	0.067	0.351	0.124
58508	0.067	0.356	0.119
