node	DC	CC	EC
2048	0.04	0.359	0.037
2050	0.028	0.345	0.023
92170	0.011	0.32	0.01
10251	0.004	0.326	0.012
2064	0.072	0.421	0.1
79899	0.006	0.292	0.003
55332	0.002	0.302	0.004
163882	0.002	0.209	0
6196	0.015	0.338	0.03
6197	0.013	0.336	0.028
6198	0.045	0.396	0.066
51256	0.015	0.329	0.021
55361	0.015	0.316	0.006
2114	0.013	0.348	0.031
55367	0.006	0.309	0.005
10318	0.002	0.292	0.003
6237	0.059	0.387	0.053
57449	0.006	0.325	0.007
51306	0.004	0.323	0.007
286827	0.002	0.302	0.004
4215	0.006	0.306	0.005
4216	0.006	0.288	0.004
4217	0.023	0.334	0.016
51329	0.002	0.247	0
30849	0.028	0.326	0.012
10371	0.034	0.337	0.02
80005	0.004	0.263	0.001
57480	0.002	0.233	0
2185	0.04	0.392	0.056
4233	0.076	0.434	0.105
10395	0.011	0.331	0.009
10397	0.004	0.303	0.004
53405	0.002	0.27	0.001
80031	0.013	0.29	0.006
2213	0.011	0.324	0.014
51368	0.011	0.292	0.013
57514	0.006	0.348	0.015
10413	0.019	0.342	0.015
10423	0.021	0.327	0.008
8395	0.03	0.358	0.02
4301	0.023	0.351	0.022
57556	0.013	0.29	0.006
2264	0.021	0.351	0.046
55512	0.011	0.279	0.002
2266	0.064	0.365	0.124
8412	0.002	0.285	0.003
51422	0.017	0.315	0.009
2272	0.004	0.304	0.004
57583	0.002	0.248	0.001
8440	0.049	0.362	0.035
2309	0.042	0.381	0.055
6405	0.015	0.291	0.006
55558	0.03	0.32	0.012
2314	0.006	0.225	0
10507	0.025	0.345	0.021
10509	0.011	0.286	0.005
22797	0.002	0.269	0.002
22800	0.034	0.34	0.025
22806	0.025	0.358	0.053
284	0.025	0.361	0.046
8482	0.013	0.287	0.005
57644	0.006	0.258	0.001
6446	0.015	0.323	0.01
57648	0.002	0.266	0.001
2355	0.006	0.322	0.013
308	0.021	0.368	0.037
57670	0.051	0.359	0.113
399687	0.006	0.31	0.01
260425	0.008	0.259	0.001
55626	0.015	0.299	0.005
22861	0.004	0.274	0.002
4440	0.006	0.258	0.001
22876	0.021	0.317	0.007
8546	0.049	0.357	0.113
355	0.034	0.377	0.027
8550	0.008	0.336	0.015
6503	0.004	0.3	0.005
57705	0.006	0.269	0.001
57706	0.006	0.281	0.002
51561	0.021	0.329	0.025
57710	0.002	0.268	0.001
8558	0.002	0.258	0.001
6512	0.004	0.292	0.003
8567	0.019	0.291	0.003
22906	0.049	0.357	0.113
27006	0.023	0.356	0.046
387	0.183	0.464	0.148
57732	0.006	0.333	0.017
55701	0.008	0.324	0.008
117145	0.002	0.275	0.002
90523	0.002	0.263	0.004
4515	0.002	0.275	0.002
2475	0.072	0.411	0.088
63916	0.019	0.345	0.016
8621	0.008	0.305	0.005
6585	0.015	0.291	0.006
55740	0.008	0.312	0.005
22979	0.004	0.246	0
84433	0.021	0.319	0.01
6610	0.013	0.282	0.003
201176	0.004	0.323	0.007
8672	0.011	0.312	0.006
84448	0.006	0.303	0.004
2533	0.013	0.284	0.002
27113	0.008	0.31	0.011
131566	0.002	0.223	0
23022	0.002	0.264	0.001
6641	0.008	0.256	0.001
66036	0.002	0.212	0
23031	0.004	0.311	0.004
23035	0.008	0.32	0.008
23037	0.002	0.202	0
117245	0.002	0.226	0
6654	0.127	0.441	0.161
143872	0.004	0.323	0.007
8718	0.008	0.312	0.006
2581	0.011	0.257	0.001
51735	0.008	0.268	0.001
51741	0.015	0.321	0.007
4637	0.013	0.328	0.011
117283	0.015	0.258	0.002
10788	0.008	0.33	0.009
145957	0.019	0.368	0.035
117289	0.006	0.326	0.007
139818	0.002	0.241	0
10809	0.004	0.249	0.001
572	0.021	0.341	0.039
8767	0.028	0.315	0.006
577	0.002	0.263	0.001
578	0.008	0.31	0.011
10817	0.019	0.339	0.029
2629	0.008	0.279	0.003
8777	0.006	0.252	0
53833	0.008	0.326	0.018
10827	0.049	0.357	0.113
84557	0.019	0.322	0.008
4688	0.015	0.36	0.022
4689	0.011	0.328	0.007
64083	0.002	0.237	0
596	0.036	0.365	0.051
64090	0.002	0.17	0
604	0.028	0.375	0.047
8797	0.013	0.328	0.011
8805	0.055	0.371	0.122
8807	0.011	0.304	0.006
8809	0.008	0.323	0.011
6774	0.138	0.436	0.156
8826	0.059	0.382	0.125
219771	0.011	0.265	0.001
23164	0.049	0.357	0.113
64127	0.019	0.277	0.002
640	0.036	0.366	0.037
23167	0.004	0.246	0
2690	0.021	0.348	0.045
6789	0.013	0.317	0.006
8844	0.049	0.357	0.113
10892	0.019	0.319	0.01
660	0.008	0.333	0.013
55966	0.002	0.298	0.003
121512	0.011	0.325	0.008
8874	0.045	0.362	0.033
64170	0.011	0.303	0.004
10924	0.004	0.198	0
4790	0.066	0.412	0.079
84668	0.002	0.246	0
4799	0.002	0.238	0.001
8897	0.013	0.255	0.002
84674	0.002	0.24	0
6850	0.076	0.413	0.088
23239	0.008	0.32	0.008
8915	0.021	0.32	0.011
23262	0.011	0.258	0.001
23263	0.006	0.326	0.008
56034	0.013	0.325	0.015
8935	0.002	0.221	0
6899	0.006	0.317	0.007
283383	0.002	0.197	0
129807	0.004	0.205	0
23312	0.004	0.225	0
8986	0.008	0.32	0.019
11044	0.051	0.357	0.113
23335	0.004	0.225	0
58155	0.013	0.321	0.01
4914	0.04	0.385	0.055
4915	0.034	0.359	0.04
4916	0.028	0.352	0.035
387893	0.004	0.307	0.008
148281	0.002	0.225	0
64319	0.002	0.248	0
836	0.089	0.439	0.09
2885	0.121	0.441	0.156
23365	0.015	0.344	0.013
840	0.023	0.327	0.013
841	0.057	0.379	0.05
2889	0.013	0.35	0.021
843	0.028	0.339	0.015
23371	0.004	0.28	0.005
