gene	drug
RHOA	PRAVASTATIN
RHOA	SIMVASTATIN
CASP3	PACLITAXEL
CASP3	MINOCYCLINE
CASP3	DIACEREIN
CDH1	BICALUTAMIDE
CDH1	CAPECITABINE
CDH1	ERLOTINIB
CDH1	LAPATINIB
CSK	FOSTAMATINIB
CSK	HYDROCHLOROTHIAZIDE
CSK	DASATINIB
EGFR	NITROGLYCERIN
EGFR	AMLEXANOX
EGFR	IBRUTINIB
EGFR	SORAFENIB
EGFR	FLUOROURACIL
EGFR	LEUCOVORIN
EGFR	NECITUMUMAB
EGFR	DURVALUMAB
EGFR	PEMETREXED
EGFR	PANITUMUMAB
EGFR	CISPLATIN
EGFR	VANDETANIB
EGFR	GEMCITABINE
EGFR	TRASTUZUMAB
EGFR	AVELUMAB
EGFR	BRIGATINIB
EGFR	ERLOTINIB HYDROCHLORIDE
EGFR	GEFITINIB
EGFR	ATEZOLIZUMAB
EGFR	DASATINIB
EGFR	IRINOTECAN
EGFR	RIBAVIRIN
EGFR	CETUXIMAB
EGFR	PACLITAXEL
EGFR	PEMBROLIZUMAB
EGFR	CARBOPLATIN
EGFR	ERDAFITINIB
EGFR	BOSUTINIB
EGFR	SIROLIMUS
EGFR	REGORAFENIB
EGFR	NERATINIB
EGFR	VEMURAFENIB
EGFR	SONIDEGIB
EGFR	DABRAFENIB
EGFR	ACALABRUTINIB
EGFR	TEMOZOLOMIDE
EGFR	SUNITINIB
EGFR	TRAMETINIB
EGFR	FOSTAMATINIB
EGFR	EVEROLIMUS
EGFR	DACOMITINIB
EGFR	ETOPOSIDE
EGFR	LIDOCAINE
EGFR	DECITABINE
EGFR	CABOZANTINIB
EGFR	NIVOLUMAB
EGFR	TALAZOPARIB
EGFR	AFATINIB
EGFR	LAPATINIB
EGFR	ENCORAFENIB
EGFR	RAMUCIRUMAB
EGFR	OSIMERTINIB
EGFR	TEGAFUR
EGFR	PONATINIB
EGFR	ALCOHOL
EGFR	BEVACIZUMAB
EGFR	ERLOTINIB
EGFR	CRIZOTINIB
EGFR	AFATINIB DIMALEATE
EGFR	OSIMERTINIB MESYLATE
EGFR	IMATINIB
EGFR	LAPATINIB DITOSYLATE
EGFR	TEMSIROLIMUS
EGFR	DOCETAXEL
ERBB2	DASATINIB
ERBB2	TALAZOPARIB
ERBB2	ANASTROZOLE
ERBB2	LAPATINIB DITOSYLATE
ERBB2	PALBOCICLIB
ERBB2	DOCETAXEL
ERBB2	TRIFLURIDINE
ERBB2	SUNITINIB
ERBB2	FILGRASTIM
ERBB2	CYCLOPHOSPHAMIDE
ERBB2	EPIRUBICIN
ERBB2	GEFITINIB
ERBB2	OSIMERTINIB MESYLATE
ERBB2	EXEMESTANE
ERBB2	ERIBULIN
ERBB2	GEMCITABINE
ERBB2	CAPECITABINE
ERBB2	VANDETANIB
ERBB2	FOSTAMATINIB
ERBB2	CISPLATIN
ERBB2	NERATINIB
ERBB2	FLUOROURACIL
ERBB2	TRASTUZUMAB
ERBB2	ALPELISIB
ERBB2	CETUXIMAB
ERBB2	CARBOPLATIN
ERBB2	PANITUMUMAB
ERBB2	PERTUZUMAB
ERBB2	IBRUTINIB
ERBB2	RIBOCICLIB
ERBB2	CHLORAMBUCIL
ERBB2	LEUCOVORIN
ERBB2	TRASTUZUMAB EMTANSINE
ERBB2	OSIMERTINIB
ERBB2	GANCICLOVIR
ERBB2	TEMSIROLIMUS
ERBB2	HYDROCORTISONE
ERBB2	METFORMIN
ERBB2	LETROZOLE
ERBB2	TAMOXIFEN
ERBB2	MASOPROCOL
ERBB2	RAMUCIRUMAB
ERBB2	BEVACIZUMAB
ERBB2	AFATINIB
ERBB2	EVEROLIMUS
ERBB2	LAPATINIB
ERBB2	AFATINIB DIMALEATE
ERBB2	SORAFENIB
ERBB2	ERLOTINIB
ERBB2	BRIGATINIB
ERBB2	OLAPARIB
ERBB2	CRIZOTINIB
ERBB2	COPANLISIB
ERBB2	TIVOZANIB
ERBB2	IRINOTECAN
ERBB2	DACOMITINIB
ERBB2	DOXORUBICIN
ERBB2	FLOXURIDINE
ERBB2	VINORELBINE
ERBB2	TIPIRACIL
ERBB2	SIROLIMUS
ERBB2	OXALIPLATIN
ERBB2	ACALABRUTINIB
ERBB2	ROMIDEPSIN
ERBB2	PACLITAXEL
ERBB2	FULVESTRANT
ERBB2	IXABEPILONE
ERBB2	PONATINIB
ERBB2	ABEMACICLIB
MTOR	EPINEPHRINE
MTOR	SIROLIMUS
MTOR	MAPROTILINE
MTOR	EVEROLIMUS
MTOR	VANDETANIB
MTOR	LOPERAMIDE
MTOR	PAROXETINE
MTOR	MIFEPRISTONE
MTOR	GLASDEGIB
MTOR	TRIFLUPERIDOL
MTOR	METFORMIN HYDROCHLORIDE
MTOR	DOXAZOSIN
MTOR	FOSTAMATINIB
MTOR	ALPELISIB
MTOR	DISULFIRAM
MTOR	NICLOSAMIDE
