term_id	term_name	query_size	intersection_size	p_value	intersection	source
GO:0048193	Golgi vesicle transport	203	49	2.69216151647791e-34	ANK1,ANK2,CAPZA1,CAPZA2,CAPZB,COPA,DYNC1I1,F8,GOLGB1,KIF3C,KIF5A,KLC1,NSF,RAB1A,RAB6A,SPTB,SPTBN1,STX4,TGFA,TRAPPC10,GBF1,SEC22C,SEC24C,SEC16A,ACTR1A,ARFRP1,BET1,DCTN2,LMAN2,KDELR2,KDELR3,SCAP,TMED3,COG4,COPG2,STXBP6,SAR1B,SPTBN5,TRAPPC4,VPS54,STX17,COG6,EXOC4,GORASP1,LMAN1L,KIF18A,TRAPPC9,SYS1,TBC1D20	GO:BP
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	203	38	3.90545883415894e-32	ANK1,ANK2,CAPZA1,CAPZA2,CAPZB,COPA,DYNC1I1,F8,GOLGB1,NSF,RAB1A,SPTB,SPTBN1,TGFA,TRAPPC10,GBF1,SEC22C,SEC24C,SEC16A,ACTR1A,BET1,DCTN2,LMAN2,KDELR2,KDELR3,SCAP,TMED3,COG4,COPG2,SAR1B,SPTBN5,TRAPPC4,STX17,COG6,GORASP1,LMAN1L,TRAPPC9,TBC1D20	GO:BP
GO:0019882	antigen processing and presentation	203	38	3.35374450439899e-30	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,CTSH,DYNC1I1,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,KIF3C,KIF5A,KLC1,LNPEP,RAB6A,TAP1,TAP2,SEC24C,ACTR1A,DCTN2,SAR1B,TAPBPL,KIF18A,OSBPL1A,MARCH8	GO:BP
GO:0048002	antigen processing and presentation of peptide antigen	203	35	1.51748585258657e-29	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,DYNC1I1,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,KIF3C,KIF5A,KLC1,LNPEP,TAP1,TAP2,SEC24C,ACTR1A,DCTN2,SAR1B,TAPBPL,KIF18A,OSBPL1A,MARCH8	GO:BP
GO:0002478	antigen processing and presentation of exogenous peptide antigen	203	33	2.09596184627475e-28	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,DYNC1I1,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,KIF3C,KIF5A,KLC1,LNPEP,TAP1,TAP2,SEC24C,ACTR1A,DCTN2,SAR1B,KIF18A,OSBPL1A	GO:BP
GO:0019884	antigen processing and presentation of exogenous antigen	203	33	8.32619815980956e-28	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,DYNC1I1,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,KIF3C,KIF5A,KLC1,LNPEP,TAP1,TAP2,SEC24C,ACTR1A,DCTN2,SAR1B,KIF18A,OSBPL1A	GO:BP
GO:0016192	vesicle-mediated transport	203	89	3.31534844164155e-27	AGER,ANK1,ANK2,ARHGAP1,CANX,CAPZA1,CAPZA2,CAPZB,CD247,CD44,COPA,CTSB,CTSH,DYNC1I1,F8,FGF14,GOLGB1,GRIK5,HLA-B,HLA-C,HLA-F,HMGB1,IRF8,KIF3C,KIF5A,KIF5B,KLC1,LGALS9,LTA4H,MKLN1,MX2,NSF,PTPN6,RAB1A,RAB6A,SPTB,SPTBN1,STX4,VAMP1,TAP1,TAP2,TGFA,TRAPPC10,STX7,STX16,GBF1,SEC22C,SEC24C,TM9SF4,SEC16A,ACTR1A,ARFRP1,BET1,DCTN2,LMAN2,KDELR2,KDELR3,EXOC3,SCAP,KIF1B,NFASC,EXOC7,CLEC16A,WASHC4,TMED3,COG4,ARMC8,COPG2,STXBP6,WASHC3,SAR1B,SPTBN5,TRAPPC4,VPS54,STX17,VPS53,COG6,EXOC4,GORASP1,LMAN1L,KIF18A,TRAPPC9,NCALD,SYS1,EXOC3L4,STX1B,OSBPL1A,TBC1D20,TSNARE1	GO:BP
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	203	26	1.30280745384373e-25	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,DYNC1I1,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,KIF3C,KIF5A,KLC1,SEC24C,ACTR1A,DCTN2,SAR1B,KIF18A,OSBPL1A,MARCH8	GO:BP
GO:0060333	interferon-gamma-mediated signaling pathway	203	24	1.52266299133083e-24	CD44,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IRF8,IRF3,IRF4,IRF5,IRF6,IRF7,CIITA,SP100,TRIM26,TRIM31,TRIM8	GO:BP
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	203	25	1.52266299133083e-24	CANX,CAPZA1,CAPZA2,CAPZB,CD74,CTSE,DYNC1I1,HLA-DMB,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-DRB5,KIF3C,KIF5A,KLC1,SEC24C,ACTR1A,DCTN2,SAR1B,KIF18A,OSBPL1A,MARCH8	GO:BP
