Description	Subcategory	Majorcategory	term_id	query_size	intersection_size	p_value	intersection	source
Adrenergic signaling in cardiomyocytes	Circulatory system	Organismal Systems	KEGG:04261	79	5	0.0386102756830257	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3	KEGG
Aldosterone synthesis and secretion	Endocrine system	Organismal Systems	KEGG:04925	79	5	0.00940499027126206	ADCY1,ADCY2,ADCY3,PDE2A,PLCB3	KEGG
Apelin signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04371	79	7	0.00197560042514327	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3,GNA13,GNB4	KEGG
Bile secretion	Digestive system	Organismal Systems	KEGG:04976	79	4	0.0323742340063491	ADCY1,ADCY2,ADCY3,SCTR	KEGG
Calcium signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04020	79	7	0.010796245051343	ADCY1,ADCY2,ADCY3,EDNRB,HTR7,PLCB3,PTGER3	KEGG
cAMP signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04024	79	16	7.10150237229153e-09	ADCY1,ADCY2,ADCY3,ADORA1,EDN3,GABBR1,GCG,GIPR,GNAI3,HTR1F,PDE4A,PDE4B,PDE4C,PTGER3,TSHR,GABBR2	KEGG
cGMP-PKG signaling pathway	Signal transduction	Environmental Information Processing	KEGG:04022	79	10	5.13866284078534e-05	ADCY1,ADCY2,ADCY3,ADORA1,EDNRB,GNA12,GNAI3,PDE2A,PLCB3,GNA13	KEGG
Chemokine signaling pathway	Immune system	Organismal Systems	KEGG:04062	79	20	4.11446289452799e-14	ADCY1,ADCY2,ADCY3,GRK3,CCR1,CCR3,CCR6,GNAI3,XCR1,GRK5,CXCR1,CXCR2,PLCB3,CCL13,CCL20,CXCL5,CXCR6,CCL28,GNB4,CCR2	KEGG
Cholinergic synapse	Nervous system	Organismal Systems	KEGG:04725	79	7	0.000764829107136988	ADCY1,ADCY2,ADCY3,GNAI3,KCNJ4,PLCB3,GNB4	KEGG
Circadian entrainment	Environmental adaptation	Organismal Systems	KEGG:04713	79	6	0.00197560042514327	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3,GNB4	KEGG
Cortisol synthesis and secretion	Endocrine system	Organismal Systems	KEGG:04927	79	5	0.00197560042514327	ADCY1,ADCY2,ADCY3,PDE8A,PLCB3	KEGG
Cushing syndrome	Endocrine and metabolic disease	Human Diseases	KEGG:04934	79	6	0.0114299915294711	ADCY1,ADCY2,ADCY3,GNAI3,PDE8A,PLCB3	KEGG
Cytokine-cytokine receptor interaction	Signaling molecules and interaction	Environmental Information Processing	KEGG:04060	79	12	0.000202129878183593	CCR1,CCR3,CCR6,XCR1,CXCR1,CXCR2,CCL13,CCL20,CXCL5,CXCR6,CCL28,CCR2	KEGG
Estrogen signaling pathway	Endocrine system	Organismal Systems	KEGG:04915	79	7	0.00197560042514327	ADCY1,ADCY2,ADCY3,GABBR1,GNAI3,PLCB3,GABBR2	KEGG
GABAergic synapse	Nervous system	Organismal Systems	KEGG:04727	79	7	0.000202129878183593	ADCY1,ADCY2,ADCY3,GABBR1,GNAI3,GABBR2,GNB4	KEGG
Gap junction	Cellular community - eukaryotes	Cellular Processes	KEGG:04540	79	5	0.0063915398110783	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3	KEGG
Gastric acid secretion	Digestive system	Organismal Systems	KEGG:04971	79	6	0.000665874751910255	ADCY1,ADCY2,ADCY3,GNAI3,KCNJ16,PLCB3	KEGG
Glutamatergic synapse	Nervous system	Organismal Systems	KEGG:04724	79	7	0.000768009557806324	ADCY1,ADCY2,ADCY3,GRK3,GNAI3,PLCB3,GNB4	KEGG
GnRH signaling pathway	Endocrine system	Organismal Systems	KEGG:04912	79	4	0.0346404338417503	ADCY1,ADCY2,ADCY3,PLCB3	KEGG
Growth hormone synthesis, secretion and action	Endocrine system	Organismal Systems	KEGG:04935	79	6	0.00448098303561131	ADCY1,ADCY2,ADCY3,GNAI3,PLCB3,SSTR3	KEGG
Human cytomegalovirus infection	Infectious disease: viral	Human Diseases	KEGG:05163	79	13	3.1775896621955e-06	ADCY1,ADCY2,ADCY3,CCR1,CCR3,GNA12,GNAI3,CXCR2,PLCB3,PTGER3,PTGER4,GNA13,GNB4	KEGG
Inflammatory mediator regulation of TRP channels	Sensory system	Organismal Systems	KEGG:04750	79	5	0.00999017845536758	ADCY1,ADCY2,ADCY3,PLCB3,PTGER4	KEGG
Insulin secretion	Endocrine system	Organismal Systems	KEGG:04911	79	5	0.0059503424870496	ADCY1,ADCY2,ADCY3,GCG,PLCB3	KEGG
Long-term depression	Nervous system	Organismal Systems	KEGG:04730	79	4	0.00933771927102778	GNA12,GNAI3,PLCB3,GNA13	KEGG
Melanogenesis	Endocrine system	Organismal Systems	KEGG:04916	79	6	0.0021961731314567	ADCY1,ADCY2,ADCY3,EDNRB,GNAI3,PLCB3	KEGG
Morphine addiction	Substance dependence	Human Diseases	KEGG:05032	79	16	1.08144979646732e-14	ADCY1,ADCY2,ADCY3,ADORA1,GRK3,GABBR1,GNAI3,GRK5,PDE2A,PDE4A,PDE4B,PDE4C,PDE8A,GABBR2,PDE7B,GNB4	KEGG
