snp	gencode_id	gene	tissue	adj_pval	log2_aFC	log2_aFC_lower	log2_aFC_upper	maf	interaction_type	hic_score	eqtl_pval	snp_chr	snp_locus	gene_chr	gene_start	gene_end	distance	cell_lines	cell_line_hic_scores	expression	max_expressed_tissue	max_expression	min_expressed_tissue	min_expression
rs7743761	ENSG00000204520.12	MICA	Brain_Cerebellar_Hemisphere	4.9363055129520855e-06	1.0818024118794636	0.7401222709584553	1.3900758748146975	0.2342857122421265	Cis	38.25	4.710749653359154e-10	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	8.261510000000001	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Brain_Cerebellum	1.1138770091995196e-06	1.2934358678242803	0.9801950616247768	1.5742555886264311	0.2464114874601364	Cis	38.25	9.387358886952052e-11	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	8.766119999999999	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Heart_Left_Ventricle	9.433220794869396e-26	-1.1114132040130855	-1.3008534441107085	-0.9274070138392608	0.25	Cis	38.25	2.000485832207656e-30	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	9.73572	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Minor_Salivary_Gland	0.00035496912191929905	-1.242846896659139	-1.5556268591208855	-0.7584105796650877	0.2569444477558136	Cis	38.25	4.5362116740648564e-08	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	23.2922	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Breast_Mammary_Tissue	2.4258870463193716e-15	-0.9577036934937494	-1.128291940519197	-0.7876293946918843	0.24747474491596225	Cis	38.25	8.852607492046528e-20	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	36.9291	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Heart_Atrial_Appendage	1.3218703362387468e-15	-0.9670353275255854	-1.1489625132382757	-0.7831556025582543	0.2688172161579132	Cis	38.25	4.641771916843946e-20	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	17.413	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Adipose_Visceral_Omentum	3.115761550735056e-15	-0.709070204508029	-0.8558703085863457	-0.5614723152351743	0.25159913301467896	Cis	38.25	1.145592692029459e-19	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	28.7676	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Brain_Hippocampus	2.9532774402653034e-05	-1.3059953981979702	-1.663344600639817	-0.8855309934784241	0.24242424964904785	Cis	38.25	3.1802829461493748e-09	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	3.86921	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Brain_Anterior_cingulate_cortex_BA24	0.00035567138611092134	-1.0400605740574222	-1.2000224181266184	-0.6450268509135457	0.2448979616165161	Cis	38.25	4.550083859148262e-08	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	4.53109	Ovary	66.8273	Brain_Hippocampus	3.86921
rs7743761	ENSG00000204520.12	MICA	Brain_Frontal_Cortex_BA9	0.009242748263465314	-0.8121963525041418	-1.0869637867668789	-0.5812545159567344	0.239999994635582	Cis	38.25	1.5120714896930457e-06	chr6	31368323	chr6	31399784	31415315	31461	GM12878_Rao2014, HepG2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_mesendoderm_cells_Dixon2015, NCI-H460_ENCODE2012, SK-N-MC_ENCODE2012, GM12878_Schmitt2016, H1_mesenchymal_stem_cells_Dixon2015, Left_ventricle_cells_Schmitt2016, T47D_ENCODE2012, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Psoas_muscle_cells_Schmitt2016, H1_hESCs_Dixon2015, Liver_cells_Schmitt2016, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, A549_ENCODE2012, THP-1_ENCODE2012, HMEC_Rao2014, GM12878_Rao2014, Nalm6_Tian2019, IMR90_Rao2014, Peripheral_blood_CD4+_T_cells_Johanson2018, Jurkat_Lucic2019, Gastrocnemius_medialis_skeletal_muscle_cells_ENCODE2012, HeLa_Rao2014, K562_Rao2014, KBM7_Rao2014, Transverse_colon_cells_ENCODE2012, Peripheral_blood_CD8+_T_cells_Johanson2018, NHEK_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.17, 0.5, 0.33, 0.5, 1.0, 1.0, 1.0, 1.0, 3.0, 0.33, 0.96, 8.0, 0.86, 0.5, 1.5, 3.0, 0.5, 0.83, 0.6, 1.0, 0.5, 0.33, 1.5, 0.33	4.56949	Ovary	66.8273	Brain_Hippocampus	3.86921
