snp	gencode_id	gene	tissue	adj_pval	log2_aFC	log2_aFC_lower	log2_aFC_upper	maf	interaction_type	hic_score	eqtl_pval	snp_chr	snp_locus	gene_chr	gene_start	gene_end	distance	cell_lines	cell_line_hic_scores	expression	max_expressed_tissue	max_expression	min_expressed_tissue	min_expression
rs2266959	ENSG00000161180.10	CCDC116	Brain_Cerebellar_Hemisphere	0.00031169038788291783	-1.307812378299572	-1.7152882600905701	-0.9252794164208862	0.17428570985794067	Cis	30.56	1.8711404015499933e-08	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.60158	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Brain_Cerebellum	1.4894132585540295e-09	-1.644985741149211	-2.04529665072528	-1.3293764448256775	0.16746412217617035	Cis	30.56	5.485234224507566e-14	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.678589	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Uterus	0.00021700142589808972	-1.6099637911836848	-3.5628082201564735	-1.1615872169658652	0.1899224817752838	Cis	30.56	1.2749863288326936e-08	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	2.22457	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Minor_Salivary_Gland	0.0033014762238609873	-1.4683144819278255	-1.832709786326275	-0.9871201739671636	0.15625	Cis	30.56	2.3333512286699477e-07	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.514373	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Breast_Mammary_Tissue	2.8522180762246937e-10	-1.2859394302053462	-1.7119207155758738	-0.9720201712239268	0.16414141654968262	Cis	30.56	9.532706870819756e-15	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.989102	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Heart_Atrial_Appendage	3.297104382387129e-05	-0.8592599996401994	-1.0613612453063566	-0.5272263964512546	0.1505376398563385	Cis	30.56	1.7266394608086348e-09	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.341285	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Adipose_Visceral_Omentum	3.048890269787562e-14	-1.172545528634785	-1.3815450962616045	-0.8533353501785972	0.15351812541484833	Cis	30.56	8.437601398711674e-19	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.8986149999999999	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Brain_Anterior_cingulate_cortex_BA24	0.028792995628843007	-1.2410453131220955	-1.998773142054288	-0.6858896603559977	0.18707482516765594	Cis	30.56	2.519199326844016e-06	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.227569	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Skin_Not_Sun_Exposed_Suprapubic	3.785144652961384e-08	-1.1828604444386617	-1.6669746380208876	-0.8652033999175092	0.1547388732433319	Cis	30.56	1.530981491750308e-12	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.5830069999999999	Testis	52.2876	Whole_Blood	0.121278
rs2266959	ENSG00000161180.10	CCDC116	Esophagus_Muscularis	3.728288372400967e-17	-1.1760278630013021	-1.4356273824992292	-0.9822290785767008	0.16236558556556702	Cis	30.56	8.730438149968639e-22	chr22	21568615	chr22	21632716	21637327	64101	HepG2_ENCODE2012, Endothelial_of_hepatic_sinusoid_cells_ENCODE2012, GM12878_Rao2014, Small_intestine_cells_Schmitt2016, RPMI7951_ENCODE2012, GM12878_Schmitt2016, LNCaP_clone_FGC_ENCODE2012, Panc1_ENCODE2012, Caki2_ENCODE2012, Germinal_zone_neurons_Won2016, H1_hESCs_Dixon2015, H1_mesendoderm_cells_Dixon2015, G401_ENCODE2012, Brain_microvascular_endothelial_cells_ENCODE2012, T_cells_of_acute_lymphoblastic_leukemia_Kloetgen2019, IMR90_Jin2013, Brain_astrocyte_ENCODE2012, Cortical_plate_neurons_Won2016, H1_mesenchymal_stem_cells_Dixon2015, SK-N-DZ_ENCODE2012, H1_trophectoderm_cells_Dixon2015, T47D_ENCODE2012, ACHN_ENCODE2012, GM12878_Rao2014, A549_ENCODE2012, IMR90_Rao2014, THP-1_ENCODE2012, KBM7_Rao2014, Nalm6_Tian2019, K562_Rao2014, Jurkat_Lucic2019, Transverse_colon_cells_ENCODE2012, HeLa_Rao2014, TeloHAEC_Lalonde2019, K562_Belaghzal2017	2.0, 1.5, 2.0, 1.0, 0.5, 1.0, 0.5, 0.5, 0.5, 0.33, 1.0, 1.0, 1.0, 0.5, 1.0, 0.33, 1.5, 0.33, 0.5, 1.0, 0.5, 0.5, 0.5, 0.7, 0.62, 0.71, 1.17, 0.4, 2.0, 1.0, 2.0, 1.0, 0.12, 1.0, 0.33	0.998957	Testis	52.2876	Whole_Blood	0.121278
